wavelength,power
3474.0542,0.0074848314
3473.9087,0.0062924032
3473.7632,0.00074397342
3473.6177,0.0072967764
3473.4724,0.0086876340
3473.3269,0.0012932963
3473.1814,0.0082378602
3473.0366,0.0047410703
3472.8911,0.0039696894
3472.7456,0.0030115228
3472.6001,0.0074898354
3472.4551,0.0065562273
3472.3096,0.0015610467
3472.1643,0.010777821
3472.0190,0.0051906300
3471.8735,0.0019893791
3471.7283,0.0051919245
3471.5830,0.0066753053
3471.4380,0.0060595484
3471.2927,0.0066564633
3471.1472,0.0095001813
3471.0020,0.0056194733
3470.8567,0.0061511993
3470.7117,0.0066746208
3470.5664,0.0071206014
3470.4214,0.0017832300
3470.2761,0.0068501094
3470.1311,0.0098784016
3469.9858,0.0013537287
3469.8406,0.0087164259
3469.6956,0.010153907
3469.5505,0.0012949076
3469.4055,0.0047601215
3469.2607,0.0059825517
3469.1152,0.0056334632
3468.9705,0.0014532997
3468.8252,0.0095522841
3468.6804,0.0072290115
3468.5354,0.0018422764
3468.3906,0.0074062445
3468.2456,0.0080112834
3468.1001,0.0035430680
3467.9553,0.0080401646
3467.8103,0.0071780840
3467.6655,0.0038089855
3467.5205,0.0025423067
3467.3757,0.011336242
3467.2305,0.0066190693
3467.0857,0.0048232982
3466.9409,0.0083183963
3466.7959,0.0065843174
3466.6514,0.00068679155
3466.5063,0.0096500413
3466.3613,0.0073688137
3466.2166,0.00083188392
3466.0715,0.0034336890
3465.9270,0.0080641862
3465.7822,0.0077162995
3465.6377,0.0052687740
3465.4932,0.010888983
3465.3481,0.0045732614
3465.2034,0.0024188804
3465.0586,0.0073616044
3464.9141,0.010267862
3464.7693,0.0013614955
3464.6248,0.0086904671
3464.4797,0.0074703703
3464.3352,0.0025353516
3464.1904,0.0038286285
3464.0459,0.010798421
3463.9014,0.0050491584
3463.7566,0.0055640140
3463.6123,0.0084154401
3463.4673,0.0061442680
3463.3230,0.00055887864
3463.1782,0.0094058821
3463.0337,0.0086804507
3462.8894,0.0014204232
3462.7446,0.0067146355
3462.6001,0.0082061272
3462.4556,0.0030895765
3462.3113,0.0045526121
3462.1665,0.010644851
3462.0220,0.0040778900
3461.8782,0.0024829323
3461.7332,0.0080983881
3461.5891,0.0095274542
3461.4446,0.0027723645
3461.3003,0.0067036389
3461.1558,0.0084410999
3461.0115,0.0053588371
3460.8672,0.0088259680
3460.7224,0.0093756923
3460.5784,0.0045170872
3460.4338,0.0054770824
3460.2898,0.010410574
3460.1453,0.0066341148
3460.0010,0.0041369908
3459.8567,0.0078365365
3459.7122,0.010896402
3459.5681,0.0013551185
3459.4238,0.0097481413
3459.2798,0.0090184612
3459.1355,0.0027485660
3458.9912,0.0078019565
3458.8469,0.010068105
